codigo_ocorrencia,codigo_fator,fator,aspecto,condicionante,area,detalhe_fator
27834,11262                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"O DESCONTROLE NOS REGISTROS DE HORAS DE VOO DA AERONAVE PT-EKA POR PARTE DA EMPRESA ROUXINOL GEROU DESCONFORMIDADE NO PROGRAMA DE MANUTENÇÃO, COMPROMETENDO A SUA AERONAVEGABILIDADE, SITUAÇÃO APARENTEMENTE NÃO DETECTADA PELOS ADMINISTRADORES E
INSPETORES, DEMONSTRANDO INCORREÇÕES DOS SERVIÇOS D
E SUPERVISÃO DA ATIVIDADE DE
MANUTENÇÃO E DE OPERAÇÃO AÉREA.                                                                                                                                                              "
27852,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27853,11264                                                                                                                           ,INFRAESTRUTURA AEROPORTUÁRIA                                                                    ,INFRAESTRUTURA AEROPORTUÁRIA ,***                                        ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27932,11269                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27933,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27935,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27952,11271                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
27953,11275                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"É PROVÁVEL QUE, EM RAZÃO DO PESO DO HELICÓPTERO E DA ALTITUDE, O PILOTO NÃO TENHA TIDO POTÊNCIA E COMANDO DE PEDAL DISPONÍVEL PARA CONTRAPOR O TORQUE DO ROTOR PRINCIPAL DURANTE A REDUÇÃO DA VELOCIDADE, DEMORANDO A REAGIR PARA EVITAR A PERDA DE CONTROLE.                                                                                                                                                                                                                                                                       "
28015,11280                                                                                                                           ,MANUTENÇÃO DE AERONAVE                                                                          ,DESEMPENHO DO SER HUMANO     ,MANUTENÇÃO DA AERONAVE                     ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28016,11281                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28033,11284                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28053,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28073,11286                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28093,11290                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,O PILOTO NÃO AVALIOU ADEQUADAMENTE A ALTURA DE SEGURANÇA A SER MANTIDA PARA NÃO COLIDIR CONTRA OS OBSTÁCULOS EXISTENTES NO LOCAL DE SOBREVÔO.

                                                                                                                                                                                                                                                                                                                                                                                   
28094,11292                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"A ASCENSÃO DO HELICÓPTERO NA VERTICAL, FORA DO GRÁFICO “ALTURA X VELOCIDADE”, MESMO QUE NÃO TENHA CONTRIBUÍDO PARA A OCORRÊNCIA, ACARRETOU EM UM DESNECESSÁRIO TRABALHO DO MOTOR PRÓXIMO AO LIMITE OPERACIONAL, FORA DOS LIMITES DE SEGURANÇA RECOMENDADOS.
O VENTO VARIÁVEL PODE TER COMPROMETIDO O CONTROLE DA AERONAVE DURANTE A REALIZAÇÃO DA DECOLAGEM.
                                                                                                                                                                     "
28096,11297                                                                                                                           ,MANUTENÇÃO DE AERONAVE                                                                          ,DESEMPENHO DO SER HUMANO     ,MANUTENÇÃO DA AERONAVE                     ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28114,11298                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,A AMPLITUDE DA REDUÇÃO DO MANETE DE MISTURA FOI DETERMINANTE PARA O CORTE DO MOTOR EM VOO.                                                                                                                                                                                                                                                                                                                                                                                                                                          
28115,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28117,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28133,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28155,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28156,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28173,11302                                                                                                                           ,OUTRO FATOR                                                                                     ,***                          ,***                                        ,***              ,OUTROS ASPECTOS OPERACIONAIS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
28193,11303                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28235,11306                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28236,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28256,11311                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"A AVALIAÇÃO DO PILOTO DE QUE A ÁREA DE APLICAÇÃO ERA FÁCIL PODE TER CONTRIBUÍDO PARA UM NATURAL RELAXAMENTO EM RELAÇÃO AOS POSSÍVEIS RISCOS, PROPORCIONANDO CONDIÇÕES PARA QUE O OBSTÁCULO (COQUEIRO) NÃO FOSSE PERCEBIDO A TEMPO DE SER EVITADO.                                                                                                                                                                                                                                                                                   "
28335,11315                                                                                                                           ,CONDIÇÕES METEOROLÓGICAS ADVERSAS                                                               ,***                          ,***                                        ,***              ,"A RESTRIÇÃO DE VISIBILIDADE E DE TETO NO SETOR DE APROXIMAÇÃO DA PISTA 31, AGRAVADA PELA ENTRADA DE UM NEVOEIRO, QUANDO A AERONAVE DEVERIA ESTAR NA APROXIMAÇÃO FINAL DO PROCEDIMENTO DE DESCIDA, CONTRIBUÍRAM PARA A OCORRÊNCIA DO ACIDENTE, NA MEDIDA EM QUE DIMINUÍRAM AS CONDIÇÕES DE O PILOTO OBTER CONTATO VISUAL COM A PISTA.

                                                                                                                                                                                            "
28355,11319                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"HÁ INDÍCIOS DE QUE O PILOTO TENHA REALIZADO OU TENHA PERMITIDO A REALIZAÇÃO DE MANOBRA PROIBIDA NO MANUAL DE VÔO DA AERONAVE E TAMBÉM NÃO PREVISTA PARA O TIPO DE VÔO EM EXECUÇÃO, COM APLICAÇÃO DOS COMANDOS DE FORMA EQUIVOCADA E COM VELOCIDADES NÃO PREVISTAS OU RECOMENDADAS PELO FABRICANTE.                                                                                                                                                                                                                                  "
28375,11322                                                                                                                           ,INFRAESTRUTURA AEROPORTUÁRIA                                                                    ,INFRAESTRUTURA AEROPORTUÁRIA ,***                                        ,FATOR OPERACIONAL,NÃO HAVIA QUALQUER SERVIÇO OU PROCEDIMENTO DA ADMINISTRAÇÃO AEROPORTUÁRIA QUE PUDESSE COIBIR OU CONTROLAR O ACESSO DE PESSOAS E VEÍCULOS À ÁREA OPERACIONAL DO AERÓDROMO.                                                                                                                                                                                                                                                                                                                                                           
28376,11325                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28377,11331                                                                                                                           ,INDISCIPLINA DE VOO                                                                             ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,O PILOTO DECOLOU COM A AERONAVE COM EXCESSO DE PASSAGEIROS E SEM OS ASSENTOS E CINTOS DE SEGURANÇA DOS MESMOS.                                                                                                                                                                                                                                                                                                                                                                                                                      
28379,11334                                                                                                                           ,ATITUDE                                                                                         ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,"O PILOTO NÃO AVALIOU ADEQUADAMENTE AS POSSÍVEIS CONSEQUÊNCIAS DA MANOBRA EXECUTADA, DEMONSTRANDO CERTA INVULNERABILIDADE E EXCESSO DE CONFIANÇA EM SI E NA AERONAVE.
É PROVÁVEL QUE ESSAS CARACTERÍSTICAS INDIVIDUAIS TENHAM CONTRIBUÍDO PARA A DECISÃO EQUIVOCADA DE REALIZAR O VOO.                                                                                                                                                                                                                                              "
28381,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28395,11340                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"A APLICAÇÃO INCORRETA DOS COMANDOS PODE TER COLOCADO A AERONAVE EM ATITUDE ANORMAL OU PODE TER AGRAVADO A SITUAÇÃO, NA TENTATIVA DO PILOTO DE RETORNAR AO VOO NORMAL.                                                                                                                                                                                                                                                                                                                                                               "
28437,15909                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"O PILOTO DEIXOU DE AVALIAR ADEQUADAMENTE AS CONSEQUÊNCIAS ADVINDAS DE UM VOO MONOMOTOR SOBRE O OCEANO, COM A AERONAVE ACIMA DO PESO MÁXIMO DE DECOLAGEM (PMD) PREVISTO PELO FABRICANTE.                                                                                                                                                                                                                                                                                                                                             "
28455,11344                                                                                                                           ,FADIGA                                                                                          ,ASPECTO MÉDICO               ,***                                        ,FATOR HUMANO     ,"A FADIGA DO PILOTO FOI FATOR CONTRIBUINTE DESTE ACIDENTE, CONSIDERANDO-SE O ALTO NÍVEL DE CONCENTRAÇÃO QUE O VOO DE PULVERIZAÇÃO AGRÍCOLA REQUER, CONCILIADO AO USO DA AERONAVE BEM PRÓXIMA AOS SEUS LIMITES DE EMPREGO, A O RUÍDO, À VIBRAÇÃO, À EXPOSIÇÃO A PRODUTOS QUÍMICOS, À SOBRECARGA DE TRABALHO, À JORNADA DE LONGA DURAÇÃO, INCLUINDO VÁRIOS
PROCEDIMENTOS DE POUSOS E DECOLAGENS PARA REABASTECIMENTOS DE DEFENSIVOS AGRÍCOLAS E COMBUSTÍVEL. 

NO MOMENTO DA COLISÃO O PILOTO CONTAVA COM DEZ HORAS DE JORNADA, OU S"
28475,11351                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28575,11354                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"APESAR DE A AERONAVE POSSUIR CONDIÇÕES DE AERONAVEGABILIDADE APÓS A PARADA DO MOTOR DIREITO, O PILOTO NÃO LOGROU ÊXITO NA ATUAÇÃO DOS COMANDOS DA AERONAVE NO SENTIDO DE CONTROLÁ-LA, A FIM DE REALIZAR O TRÁFEGO E O POUSO MONOMOTOR COM SEGURANÇA.                                                                                                                                                                                                                                                                                "
28615,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28617,11360                                                                                                                           ,CULTURA ORGANIZACIONAL                                                                          ,ASPECTO PSICOLÓGICO          ,ORGANIZACIONAL                             ,FATOR HUMANO     ,"HOUVE TAMBÉM CONTRIBUIÇÃO DO AMBIENTE ORGANIZACIONAL, CONSTATADO ATRAVÉS DA FALTA DE AVALIAÇÃO DE DESEMPENHO, INEXISTENTE ACOMPANHAMENTO DE PESSOAL E SUPERVISÃO POUCO EFETIVA NA ATIVIDADE AÉREA, QUE FAVORECERAM AO ENFRAQUECIMENTO DA CULTURA DE SEGURANÇA DE VOO.                                                                                                                                                                                                                                                               "
28636,11366                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28735,11368                                                                                                                           ,INFRAESTRUTURA AEROPORTUÁRIA                                                                    ,INFRAESTRUTURA AEROPORTUÁRIA ,***                                        ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28775,11372                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"É POSSÍVEL QUE O PILOTO TENHA APLICADO OS COMANDOS DE VOO DA AERONAVE DE FORMA INADEQUADA, DURANTE A EMERGÊNCIA, POSSIBILITANDO QUE A AERONAVE PERDESSE SUSTENTAÇÃO, ESTOLASSE E COLIDISSE CONTRA A COPA DAS ÁRVORES.                                                                                                                                                                                                                                                                                                               "
28795,11378                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28815,11380                                                                                                                           ,ATITUDE                                                                                         ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
28915,11385                                                                                                                           ,FADIGA                                                                                          ,ASPECTO MÉDICO               ,***                                        ,FATOR HUMANO     ,"A EXTENSA JORNADA DE TRABALHO ALIADA A OUTROS FATORES ESTRESSANTES RELATIVOS ÀS CONDIÇÕES CLIMÁTICAS DESFAVORÁVEIS, ATIVIDADES EM HORÁRIOS QUE DESRESPEITAVAM O CICLO BIOLÓGICO SONO/VIGÍLIA, COMO NO CASO DOS VOOS NOTURNOS, CONTRIBUÍRAM PARA A QUEDA PROGRESSIVA E ABRUPTA DA QUALIDADE DO TRABALHO.                                                                                                                                                                                                                             "
28935,11395                                                                                                                           ,ATITUDE                                                                                         ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,"O COMANDANTE NÃO TEVE A CAPACIDADE DE REALIZAR UMA ANÁLISE CRITICA DA SITUAÇÃO, POIS DECIDIU REALIZAR O POUSO COM A AERONAVE FORA DAS CONDIÇÕES MÍNIMAS DE SEGURANÇA PREVISTAS (APROXIMAÇÃO FINAL DESESTABILIZADA), CHOVENDO E COM O PÁRA-BRISA DO SEU LADO EMBAÇADO.                                                                                                                                                                                                                                                               "
28955,11404                                                                                                                           ,ATITUDE                                                                                         ,ASPECTO PSICOLÓGICO          ,INDIVIDUAL                                 ,FATOR HUMANO     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
29095,11410                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"A PERDA DE CONTROLE DO PASSO DA PÁ DA HÉLICE GEROU VIBRAÇÃO NO MOTOR E PERDA DE POTÊNCIA, OCASIONANDO PERDA DE ALTITUDE. COM A AERONAVE À BAIXA ALTURA, O PILOTO PRIORIZOU O RESTABELECIMENTO DA POTÊNCIA EM DETRIMENTO DA MANUTENÇÃO DO PLANEIO DA AERONAVE PARA O POUSO FORÇADO. AO BUSCAR REFERÊNCIAS EXTERNAS PARA MANUTENÇÃO DO VÔO VISUAL, O PILOTO NÃO TEVE TEMPO DE EVITAR O IMPACTO CONTRA AS ÁRVORES E POSTERIORMENTE CONTRA O SOLO.                                                                                      "
29159,11413                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
29161,11417                                                                                                                           ,COORDENAÇÃO DE CABINE                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
29175,11422                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,"AO EFETUAR O PROCEDIMENTO DE AUTORROTAÇÃO, O PILOTO FEZ A ESCOLHA DE UMA ÁREA DE POUSO QUE, EM RAZÃO DA PRESENÇA DE VEGETAÇÃO ALTA, NECESSITOU A APLICAÇÃO DO COMANDO DE CÍCLICO E COLETIVO ANTES DA ALTURA IDEAL PARA REALIZAÇÃO DO POUSO DE EMERGÊNCIA, FAZENDO COM QUE O TOQUE FOSSE BRUSCO E OCASIONASSE A QUEBRA DO ESQUI DIREITO, APÓS O CONTATO CONTRA O SOLO.                                                                                                                                                               "
29195,11427                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
